"","ensembl_gene_id","external_gene_name","chromosome_name","start_position","end_position","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"80","ENSG00000283168","GCSHP3","CHR_HSCHR2_6_CTG7_2",206116110,206116500,"glycine cleavage system protein H pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:43929]",0.386175651582323,17.1271583149518,4.28333183862185,3.99855975680427,6.37290922283027e-05,0.0136423366473618,1.4610554850066
"51","ENSG00000237580","GCSHP3","2",206116110,206116500,"glycine cleavage system protein H pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:43929]",0.386175651582323,17.1271583149518,4.28333183862185,3.99855975680427,6.37290922283027e-05,0.0124455650560464,1.66014463126436
"44","ENSG00000231063","AC006994.1","2",210088226,210089064,"ribosomal protein L6 (RPL6) pseudogene",0.323586879279275,16.9854638553382,4.2836486629223,3.96518603459668,7.33387264164903e-05,0.00915451463177733,2.93395844858884
"49","ENSG00000235028","HMGN1P30","18",58018794,58019061,"high mobility group nucleosome binding domain 1 pseudogene 30 [Source:HGNC Symbol;Acc:HGNC:39374]",0.247189431432986,16.5576159063415,4.30003946033984,3.85057301428413,0.000117841791494673,0.0292549643471713,0.695369610442326
"26","ENSG00000173627","APOBEC4","1",183646275,183653316,"apolipoprotein B mRNA editing enzyme catalytic polypeptide like 4 [Source:HGNC Symbol;Acc:HGNC:32152]",0.29149073168787,16.5340275579626,4.27706534758582,3.86574115995099,0.000110752350267656,0.0279083225052262,0.708059272243531
"64","ENSG00000269547","AC011455.2","19",38915404,38949855,"novel protein",0.376143103451881,16.2995115144758,4.29862454400425,3.79179696845365,0.000149561165402007,0.023103249502176,1.4610554850066
"79","ENSG00000282835","AC011455.3","CHR_HG26_PATCH",38915440,38949891,"novel protein",0.376143103451881,16.2995115144758,4.29862454400425,3.79179696845365,0.000149561165402007,0.0145719810469956,2.93395844858884
"59","ENSG00000254899","BX248516.1","CHR_HSCHR6_MHC_SSTO_CTG1",31520968,31537331,"ATPase H+ transporting lysosomal 13kDa V1 subunit G isoform 2 (ATP6V1G2) and HLA-B associated transcript 1 (BAT1) readthrough",0.344103628795342,16.2945065328808,4.29862333481016,3.79063371310722,0.000150263412607836,0.023103249502176,1.4610554850066
"67","ENSG00000274418","RDH13","CHR_HSCHR19LRC_PGF1_CTG3_1",54972739,54991632,"retinol dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:19978]",0.250762068967921,15.984201271325,4.30004028483364,3.71722128457766,0.000201426007458426,0.0431674339342843,0.553793632333285
"71","ENSG00000275474","RDH13","CHR_HSCHR19LRC_LRC_S_CTG3_1",55052029,55070922,"retinol dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:19978]",0.250762068967921,15.984201271325,4.30004028483364,3.71722128457766,0.000201426007458426,0.0431674339342843,0.553793632333285
"77","ENSG00000278284","RDH13","CHR_HSCHR19LRC_PGF2_CTG3_1",54782118,54801011,"retinol dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:19978]",0.250762068967921,15.984201271325,4.30004028483364,3.71722128457766,0.000201426007458426,0.0393695817028628,0.676698714147117
"66","ENSG00000273944","RDH13","CHR_HSCHR19LRC_LRC_J_CTG3_1",55077480,55096373,"retinol dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:19978]",0.250762068967921,15.984201271325,4.30004028483364,3.71722128457766,0.000201426007458426,0.0388929882121657,0.695369610442326
"69","ENSG00000274504","RDH13","CHR_HSCHR19LRC_LRC_T_CTG3_1",54988322,55007215,"retinol dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:19978]",0.250762068967921,15.984201271325,4.30004028483364,3.71722128457766,0.000201426007458426,0.0388929882121657,0.695369610442326
"72","ENSG00000276341","RDH13","CHR_HSCHR19LRC_LRC_I_CTG3_1",55049943,55068836,"retinol dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:19978]",0.250762068967921,15.984201271325,4.30004028483364,3.71722128457766,0.000201426007458426,0.0388929882121657,0.708059272243531
"74","ENSG00000276826","RDH13","CHR_HSCHR19LRC_COX2_CTG3_1",54715159,54734052,"retinol dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:19978]",0.250762068967921,15.984201271325,4.30004028483364,3.71722128457766,0.000201426007458426,0.0388929882121657,0.708059272243531
"76","ENSG00000278149","RDH13","CHR_HSCHR19LRC_COX1_CTG3_1",54973355,54992248,"retinol dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:19978]",0.250762068967921,15.984201271325,4.30004028483364,3.71722128457766,0.000201426007458426,0.0388929882121657,0.708059272243531
"73","ENSG00000276612","FP565260.2","21",5116343,5133805,"novel protein",0.740399843584747,15.9780041398368,4.27687804422926,3.73590361347706,0.000187042307915103,0.0398703844513611,0.60281981296321
"42","ENSG00000227348","MTND5P25","2",201212283,201213081,"MT-ND5 pseudogene 25 [Source:HGNC Symbol;Acc:HGNC:42287]",0.245732398459492,15.9560181128516,4.30004009011276,3.71066729111197,0.000206713638303892,0.0398089091289525,0.676698714147117
"2","ENSG00000008196","TFAP2B","6",50818723,50847619,"transcription factor AP-2 beta [Source:HGNC Symbol;Acc:HGNC:11743]",0.245732398459492,15.9560180756492,4.30004009019164,3.71066728239227,0.000206713645424705,0.0393695817028628,0.695369610442326
"38","ENSG00000220868","MRPL35P1","6",13949095,13949666,"mitochondrial ribosomal protein L35 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:29705]",0.229402419196894,15.9072618871391,4.30004025708477,3.69932859603585,0.000216170574304187,0.0398089091289525,0.708059272243531
"43","ENSG00000230635","CYP4F60P","9",42950566,42951630,"cytochrome P450 family 4 subfamily F member 60, pseudogene [Source:HGNC Symbol;Acc:HGNC:42468]",0.229402419196894,15.9072617234483,4.30004025708548,3.69932855796799,0.000216170606725581,0.0388929882121657,0.75767165777602
"22","ENSG00000147873","IFNA5","9",21304326,21305312,"interferon alpha 5 [Source:HGNC Symbol;Acc:HGNC:5426]",0.185392073574739,15.8569573399005,4.3014464868914,3.68642441286305,0.000227426950062833,0.0395044646290566,0.75767165777602
"47","ENSG00000232716","AC016831.3","7",130840204,130843725,"zinc finger protein 131 (ZNF131) pseudogene",0.185392073574739,15.8569572539453,4.30144648683319,3.68642439293009,0.000227426967867772,0.0417512731582129,0.676698714147117
"36","ENSG00000205184","SLC10A5P1","8",81634357,81635662,"SLC10A5 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:48930]",0.185392073574739,15.8569566947075,4.30144648702722,3.68642426275223,0.000227427084148049,0.0417512731582129,0.676698714147117
"63","ENSG00000268951","AL772155.3","9",63719864,63720441,"novel pseudogene",0.185392073574739,15.8569566947075,4.30144648702722,3.68642426275223,0.000227427084148049,0.040856668179123,0.708059272243531
"56","ENSG00000249435","AC022137.2","19",53426019,53426499,"FSHD region gene 2 (FRG2) pseudogene",0.188835922193204,15.6266239633008,4.30143994987563,3.63288204540729,0.00028027315957402,0.0434446608407505,0.75767165777602
"31","ENSG00000187902","SHISA7","19",55428740,55442863,"shisa family member 7 [Source:HGNC Symbol;Acc:HGNC:35409]",0.188071551725941,15.6103666712399,4.30144000969104,3.62910249499473,0.000284408310425206,0.0473447243974672,0.676698714147117
"40","ENSG00000224442","AC017035.1","2",197028711,197030143,"ribosomal protein L4 (RPL4) pseudogene",0.188071551725941,15.6103666712399,4.30144000969104,3.62910249499473,0.000284408310425206,0.0462271748681821,0.708059272243531
"20","ENSG00000143107","FNDC7","1",108712908,108742742,"fibronectin type III domain containing 7 [Source:HGNC Symbol;Acc:HGNC:26668]",0.315431475980045,15.2256058431208,4.29354744895048,3.54615991185625,0.000390888926130237,0.0250576074935834,2.93395844858884
"70","ENSG00000275400","AC006001.4","7",66553805,66554199,"translocase of outer mitochondrial membrane 20 homolog (yeast) (TOMM20) pseudogene",1.88031747073459,15.2211622283007,3.16782817514024,4.80492040185444,1.5481308302777e-06,0.00357029820836653,0.288190619669293
"82","ENSG00000285171","AL590764.2","X",71103987,71111575,"novel protein, IL2RG-CXorf65 readthrough",0.325118930834596,15.2011022690936,4.2939312958951,3.54013635095315,0.000399920355530641,0.0366119917234313,1.61329695413214
"54","ENSG00000241622","RARRES2P1","3",75658534,75659014,"retinoic acid receptor responder 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:48700]",0.551192753672317,15.1787673057908,4.28320961544758,3.54378344012115,0.000394429084558647,0.0365149979075844,1.61329695413214
"41","ENSG00000225991","RPL23AP34","2",28308161,28308570,"ribosomal protein L23a pseudogene 34 [Source:HGNC Symbol;Acc:HGNC:36035]",0.497785403965885,15.1423675004845,4.26965887157409,3.54650522581491,0.000390376999831053,0.0250576074935834,2.93395844858884
"37","ENSG00000213860","RPL21P75","7",20002765,20003247,"ribosomal protein L21 pseudogene 75 [Source:HGNC Symbol;Acc:HGNC:36460]",0.428109163462592,14.8914166934625,4.28542821251474,3.47489584587488,0.000511051734982842,0.0294100610299298,2.93395844858884
"34","ENSG00000198088","NUP62CL","X",107123427,107206433,"nucleoporin 62 C-terminal like [Source:HGNC Symbol;Acc:HGNC:25960]",0.32838054083556,14.7766880115062,4.29387049687878,3.44134459160968,0.000578830867324633,0.0317870660374805,2.93395844858884
"5","ENSG00000055118","KCNH2","7",150944961,150978315,"potassium voltage-gated channel subfamily H member 2 [Source:HGNC Symbol;Acc:HGNC:6251]",0.545392850889349,14.724227654957,4.28386350724018,3.43713744148746,0.000587897201528114,0.0320904650251448,2.93395844858884
"68","ENSG00000274439","CXADRP2","CHR_HSCHR15_1_CTG1",21372682,21387280,"CXADR pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:33973]",0.315488880792824,14.7013001460932,4.28931645819067,3.42742259504317,0.000609339993155891,0.0388929882121657,2.1214230780549
"46","ENSG00000231802","AC009502.2","2",219684030,219684795,"DnaJ (Hsp40) homolog, subfamily B, member 6 (DNAJB6) pseudogene",0.695778685392084,14.5552418810351,3.81022451603019,3.82004835142889,0.000133425515738157,0.0346334568159975,0.592016226521455
"50","ENSG00000236060","HSPB1P1","9",72007881,72008136,"heat shock protein family B (small) member 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:5251]",0.371650725868916,14.3770665563312,4.30434437213789,3.34012925392175,0.000837394062590931,0.0388929882121657,2.93395844858884
"58","ENSG00000254743","OR10V3P","11",59741325,59742049,"olfactory receptor family 10 subfamily V member 3 pseudogene [Source:HGNC Symbol;Acc:HGNC:15138]",0.313750918698449,13.8736015249038,4.30719356161891,3.22103042884593,0.00127730585698709,0.0486295949510173,2.93395844858884
"28","ENSG00000180921","FAM83H","8",143723933,143738234,"family with sequence similarity 83 member H [Source:HGNC Symbol;Acc:HGNC:24797]",74.7177580723219,6.16614131099131,0.819588873993935,7.52345658493765,5.33467199956912e-14,4.64734928588888e-09,0.152584028425808
"14","ENSG00000129991","TNNI3","19",55151767,55157773,"troponin I3, cardiac type [Source:NCBI gene;Acc:7137]",8.38726163266104,5.8292656807037,1.17322499574578,4.96858292470851,6.74439573966084e-07,0.00516009168435333,0.0694947964907541
"35","ENSG00000203685","STUM","1",226548764,226609230,"stum, mechanosensory transduction mediator homolog [Source:HGNC Symbol;Acc:HGNC:30491]",234.48080225859,1.82409222836132,0.334217069668354,5.45780689828732,4.82051488118923e-08,4.84474889048974e-05,1.4695565929351
"33","ENSG00000197616","MYH6","14",23381982,23408273,"myosin heavy chain 6 [Source:HGNC Symbol;Acc:HGNC:7576]",99.9114896335996,1.69418445862227,0.307821699940061,5.50378501240217,3.71722807667953e-08,4.20290501628243e-05,1.4695565929351
"1","ENSG00000003989","SLC7A2","8",17497088,17570573,"solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]",636.570975285974,1.57345230902551,0.364385225216857,4.31810128440058,1.5737721166883e-05,0.00524598417764388,1.56380053940274
"53","ENSG00000241506","PSMC1P1","3",68635705,68637024,"proteasome 26S subunit, ATPase 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:30147]",377.12499946516,1.34630691448023,0.230930093207185,5.82993275489804,5.54497162329092e-09,1.07339879803422e-05,1.37332993920951
"11","ENSG00000118194","TNNT2","1",201359008,201377762,"troponin T2, cardiac type [Source:HGNC Symbol;Acc:HGNC:11949]",26.7638296359486,1.25493795941688,0.352174623313866,3.56339689557487,0.000366086523767332,0.0398703844513611,1.18668064470976
"7","ENSG00000106479","ZNF862","7",149838375,149867479,"zinc finger protein 862 [Source:HGNC Symbol;Acc:HGNC:34519]",93.9223700115577,1.12712547523278,0.284630925398414,3.95995436425287,7.49640875135213e-05,0.0155525671768802,1.36320127669133
"23","ENSG00000163673","DCLK3","3",36712422,36764349,"doublecortin like kinase 3 [Source:HGNC Symbol;Acc:HGNC:19005]",227.676219155336,0.960569471521877,0.27519524985388,3.49050164213193,0.000482114650122598,0.0413350267039188,1.4695565929351
"27","ENSG00000176971","FIBIN","11",26994184,26996121,"fin bud initiation factor homolog [Source:HGNC Symbol;Acc:HGNC:33747]",332.057446520439,0.817733539537263,0.171604679375333,4.76521702388266,1.88650485856048e-06,0.00204432809067967,0.845952539639363
"29","ENSG00000183160","TMEM119","12",108589851,108598320,"transmembrane protein 119 [Source:HGNC Symbol;Acc:HGNC:27884]",316.270796981055,0.811627761346931,0.230237390113908,3.52517790852905,0.000423198469443588,0.0398703844513611,1.36320127669133
"62","ENSG00000268173","AC007192.1","19",18153158,18178117,"novel protein, readthrough between PIK3R2 and IFI30",627.985681220224,0.683140150371348,0.172137487027116,3.96857280868599,7.23043666332028e-05,0.0324846803388094,0.352219431351467
"6","ENSG00000087253","LPCAT2","16",55509072,55586666,"lysophosphatidylcholine acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:26032]",324.931450823389,0.637089275680276,0.167891731251781,3.79464355349851,0.000147855716232663,0.0294100610299298,0.845952539639363
"30","ENSG00000185946","RNPC3","1",103525691,103555239,"RNA binding region (RNP1, RRM) containing 3 [Source:HGNC Symbol;Acc:HGNC:18666]",185.821048767434,0.621207113958273,0.177822527721599,3.49341066015461,0.000476892524285511,0.0426619499064245,1.36320127669133
"78","ENSG00000282752","CTDP1","CHR_HSCHR18_3_CTG2_1",79685555,79723770,"CTD phosphatase subunit 1 [Source:HGNC Symbol;Acc:HGNC:2498]",233.799948695212,0.614936150344791,0.184071745522466,3.3407416689583,0.000835549274367173,0.0434446608407505,2.25462317910529
"32","ENSG00000196549","MME","3",155024124,155183729,"membrane metalloendopeptidase [Source:HGNC Symbol;Acc:HGNC:7154]",2213.67580153987,0.592808824047944,0.126816575797196,4.67453738063358,2.94616972847302e-06,0.00174130910167719,1.66592249806674
"21","ENSG00000143387","CTSK","1",150796208,150808260,"cathepsin K [Source:HGNC Symbol;Acc:HGNC:2536]",2289.63280405643,0.567942451180218,0.152796578705987,3.71698408426448,0.000201615139000084,0.0248429674583032,1.58589155616898
"19","ENSG00000142920","AZIN2","1",33081104,33123492,"antizyme inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:29957]",155.969640251693,0.546384469444645,0.152933059182623,3.57270345839473,0.000353314781960301,0.0372448954828904,1.36320127669133
"48","ENSG00000233608","TWIST2","2",238848032,238910534,"twist family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:20670]",456.31562183858,0.527046553043294,0.132094322145924,3.98992586873694,6.60939490556266e-05,0.0143217428765958,1.36320127669133
"39","ENSG00000221869","CEBPD","8",47736909,47739086,"CCAAT enhancer binding protein delta [Source:HGNC Symbol;Acc:HGNC:1835]",2381.08924094801,0.495437989997478,0.0924411878492312,5.35949398233093,8.34553737152524e-08,7.81887181056347e-05,1.28980541855768
"13","ENSG00000124208","TMEM189-UBE2V1","20",50081124,50153637,"TMEM189-UBE2V1 readthrough [Source:HGNC Symbol;Acc:HGNC:33521]",338.053803307932,0.437013135617506,0.118659409694625,3.6829201893232,0.000230577365549525,0.0291733981196808,1.37332993920951
"4","ENSG00000050344","NFE2L3","7",26152198,26187137,"nuclear factor, erythroid 2 like 3 [Source:HGNC Symbol;Acc:HGNC:7783]",1701.63106329244,0.435922713431639,0.103522042573671,4.21091685011353,2.54336353740806e-05,0.00766864304718878,1.46849960406053
"25","ENSG00000171763","SPATA5L1","15",45402336,45421415,"spermatogenesis associated 5 like 1 [Source:HGNC Symbol;Acc:HGNC:28762]",254.736399897345,0.433680977312654,0.115859161133586,3.74317380748699,0.000181710445409508,0.0247352645029349,1.4695565929351
"8","ENSG00000112715","VEGFA","6",43770184,43786487,"vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]",10300.5031693673,0.399480752812839,0.111873252668466,3.57083345021436,0.000355847121258369,0.0233855251902654,3.34324053256236
"10","ENSG00000115828","QPCT","2",37342827,37373322,"glutaminyl-peptide cyclotransferase [Source:HGNC Symbol;Acc:HGNC:9753]",806.134308545145,0.343733493915715,0.0918678017971282,3.74161008744698,0.000182845049907982,0.0279460055150048,1.15960177783876
"15","ENSG00000134824","FADS2","11",61792980,61867354,"fatty acid desaturase 2 [Source:HGNC Symbol;Acc:HGNC:3575]",2706.21731490344,0.331093393001002,0.0949288343183397,3.48780636967157,0.000487000624691277,0.0426619499064245,1.40345848539573
"16","ENSG00000135916","ITM2C","2",230864639,230879248,"integral membrane protein 2C [Source:HGNC Symbol;Acc:HGNC:6175]",2214.1460130991,0.312144817311374,0.0711071519492177,4.38978089762753,1.13464925692811e-05,0.00442340144359192,1.58589155616898
"18","ENSG00000142694","EVA1B","1",36322031,36324154,"eva-1 homolog B [Source:HGNC Symbol;Acc:HGNC:25558]",1324.11201229628,0.273840563082507,0.0759437809795416,3.60583262448148,0.000311153649796285,0.037267134834989,1.193363128657
"12","ENSG00000118257","NRP2","2",205681990,205798133,"neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]",18224.0302158148,0.267340251541552,0.0615618378353575,4.34262947536644,1.40787463557703e-05,0.00309366936245769,3.34324053256236
"17","ENSG00000141552","ANAPC11","17",81890790,81900991,"anaphase promoting complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:14452]",984.835196010763,0.25556448136343,0.0726522030453681,3.51764255798053,0.000435398411916169,0.0388929882121657,1.56380053940274
"9","ENSG00000114861","FOXP1","3",70952817,71583993,"forkhead box P1 [Source:HGNC Symbol;Acc:HGNC:3823]",5030.52007435153,0.187343627015347,0.0560008978788314,3.34536827285699,0.000821733820200355,0.0370259988713557,3.2343409314328
"3","ENSG00000008988","RPS20","8",56067295,56074581,"ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405]",8744.11318745272,0.14643082385574,0.043273765808551,3.38382438227286,0.000714837104472987,0.0481327430279087,1.66592249806674
